S.No.,State,Name and Address of Medical College / Medical Institution,Starting Year,Rank
1,Tamil Nadu,"Madras Medical College, Chennai",1835,1
2,West Bengal,"Medical College, Kolkata",1838,2
3,Tamil Nadu,"Stanley Medical College, Chennai",1838,2
4,Maharashtra,"Grant Medical College, Mumbai",1845,3
5,Uttar Pradesh,"Chhatrapati Shahuji Maharaj Medical University, Lucknow",1911,4
6,Delhi,"Lady Hardinge Medical College, New Delhi",1916,5
7,West Bengal,"RG Kar Medical College, Kolkata",1916,5
8,Andhra Pradesh,"Andhra Medical College, Visakhapatnam",1923,6
9,Karnataka,"Govt. Medical College, Mysore",1924,7
10,Bihar,"Patna Medical College, Patna",1925,8
11,Maharashtra,"Seth GS Medical College, Mumbai",1925,8
12,Uttar Pradesh,"S N Medical College, Agra",1939,9
13,Tamil Nadu,"Christian Medical College, Vellore",1942,10
14,Punjab,"Government Medical College, Amritsar",1943,11
15,Orissa,"SCB Medical College, Cuttack",1944,12
16,Gujarat,"B J Medical College, Ahmedabad",1946,13
17,Bihar,"Darbhanga Medical College, Lehriasarai",1946,13
18,Madhya Pradesh,"Gajra Raja Medical College, Gwalior",1946,13
19,Andhra Pradesh,"Guntur Medical College, Guntur",1946,13
20,Andhra Pradesh,"Osmania Medical College, Hyderabad",1946,13
21,Assam,"Assam Medial College, Dibrugarh",1947,14
22,Maharashtra,"Government Medical College, Nagpur",1947,14
23,Rajasthan,"SMS Medical College, Jaipur",1947,14
24,West Bengal,"Calcutta National Medical College, Kolkata",1948,15
25,Madhya Pradesh,"M G M Medical College, Indore",1948,15
26,West Bengal,"Nilratan Sircar Medical College, Kolkata",1948,15
27,Gujarat,"Medical College, Baroda",1949,16
28,Kerala,"Medical College, Thiruvananthapuram",1951,17
29,Punjab,"Christian Medical College, Ludhiana",1953,18
30,Punjab,"Government Medical College, Patiala",1953,18
31,Karnataka,"Kasturba Medical College, Manipal",1953,18
32,Andhra Pradesh,"Gandhi Medical College, Hyderabad",1954,19
33,Tamil Nadu,"Madurai Medical College, Madurai",1954,19
34,Karnataka,"Bangalore Medical College and Research Institute, Bangalore",1955,20
35,Madhya Pradesh,"Gandhi Medical College, Bhopal",1955,20
36,Uttar Pradesh,"GSVM Medial College, Kanpur",1955,20
37,Karnataka,"Kasturba Medical College, Mangalore",1955,20
38,Gujarat,"MP Shah Medical College,Jamnagar",1955,20
39,Madhya Pradesh,"Netaji Subhash Chandra Bose Medical College, Jabalpur",1955,20
40,Delhi,"All India Institute of Medical Sciences, New Delhi",1956,21
41,West Bengal,"Bankura Sammilani Medical College, Bankura",1956,21
42,Maharashtra,"Government Medical College, Aurangabad",1956,21
43,Pondicherry,"Jawaharlal Institute of Postgraduate Medical Education &
  Research, Puducherry",1956,21
44,Kerala,"Govt. Medical College, Kozhikode,Calicut",1957,22
45,West Bengal,"Institute of Postgraduate Medical Education & Research,
  Kolkata",1957,22
46,Karnataka,"Karnataka Institute of Medical Sciences, Hubli",1957,22
47,Andhra Pradesh,"Kurnool Medical College, Kurnool",1957,22
48,Delhi,"Maulana Azad Medical College, New Delhi",1958,23
49,Andhra Pradesh,"Rangaraya Medical College, Kakinada",1958,23
50,Jammu & Kashmir,"Government Medical College, Srinagar",1959,24
51,Andhra Pradesh,"Kakatiya Medical College, Wrangal",1959,24
52,Rajasthan,"Sardar Patel Medical College, Bikaner",1959,24
53,Tamil Nadu,"Thanjavur Medical College,Thanjavur",1959,24
54,Orissa,"VSS Medical College, Burala",1959,24
55,Assam,"Gauhati Medical College, Guwahati",1960,25
56,Kerala,"Government Medical College, Kottayam",1960,25
57,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varansi",1960,25
58,Tamil Nadu,"Kilpauk Medical College, Chennai",1960,25
